uf,municipio,evento,feminino,masculino,total_vitima,total,ano,mes,dia_semana,latitude,longitude
AL,NÃO INFORMADO,Estupro,35.0,13.0,48.0,,2015,1,Quinta,,
AM,NÃO INFORMADO,Estupro,66.0,13.0,80.0,,2015,1,Quinta,,
AP,NÃO INFORMADO,Estupro,38.0,3.0,42.0,,2015,1,Quinta,,
BA,NÃO INFORMADO,Estupro,214.0,22.0,236.0,,2015,1,Quinta,,
CE,NÃO INFORMADO,Estupro,115.0,18.0,133.0,,2015,1,Quinta,,
DF,NÃO INFORMADO,Estupro,81.0,12.0,93.0,,2015,1,Quinta,,
MA,NÃO INFORMADO,Estupro,74.0,14.0,102.0,,2015,1,Quinta,,
MG,NÃO INFORMADO,Estupro,336.0,65.0,405.0,,2015,1,Quinta,,
MS,NÃO INFORMADO,Estupro,135.0,16.0,307.0,,2015,1,Quinta,,
MT,NÃO INFORMADO,Estupro,81.0,14.0,103.0,,2015,1,Quinta,,
PA,NÃO INFORMADO,Estupro,177.0,13.0,190.0,,2015,1,Quinta,,
PB,NÃO INFORMADO,Estupro,23.0,3.0,26.0,,2015,1,Quinta,,
PE,NÃO INFORMADO,Estupro,190.0,31.0,222.0,,2015,1,Quinta,,
PI,NÃO INFORMADO,Estupro,36.0,5.0,41.0,,2015,1,Quinta,,
RJ,NÃO INFORMADO,Estupro,402.0,76.0,485.0,,2015,1,Quinta,,
RN,NÃO INFORMADO,Estupro,24.0,1.0,26.0,,2015,1,Quinta,,
RO,NÃO INFORMADO,Estupro,24.0,6.0,30.0,,2015,1,Quinta,,
RS,NÃO INFORMADO,Estupro,456.0,89.0,545.0,,2015,1,Quinta,,
SC,NÃO INFORMADO,Estupro,188.0,36.0,224.0,,2015,1,Quinta,,
SP,NÃO INFORMADO,Estupro,820.0,217.0,1101.0,,2015,1,Quinta,,
TO,NÃO INFORMADO,Estupro,18.0,3.0,21.0,,2015,1,Quinta,,
AL,NÃO INFORMADO,Estupro,41.0,4.0,45.0,,2015,2,Domingo,,
AM,NÃO INFORMADO,Estupro,72.0,10.0,85.0,,2015,2,Domingo,,
AP,NÃO INFORMADO,Estupro,17.0,5.0,22.0,,2015,2,Domingo,,
BA,NÃO INFORMADO,Estupro,185.0,34.0,219.0,,2015,2,Domingo,,
CE,NÃO INFORMADO,Estupro,95.0,9.0,104.0,,2015,2,Domingo,,
DF,NÃO INFORMADO,Estupro,62.0,7.0,69.0,,2015,2,Domingo,,
MA,NÃO INFORMADO,Estupro,41.0,10.0,61.0,,2015,2,Domingo,,
MG,NÃO INFORMADO,Estupro,310.0,48.0,359.0,,2015,2,Domingo,,
MS,NÃO INFORMADO,Estupro,24.0,7.0,135.0,,2015,2,Domingo,,
MT,NÃO INFORMADO,Estupro,91.0,7.0,104.0,,2015,2,Domingo,,
PA,NÃO INFORMADO,Estupro,167.0,18.0,185.0,,2015,2,Domingo,,
PB,NÃO INFORMADO,Estupro,22.0,2.0,24.0,,2015,2,Domingo,,
PE,NÃO INFORMADO,Estupro,164.0,25.0,191.0,,2015,2,Domingo,,
PI,NÃO INFORMADO,Estupro,40.0,3.0,43.0,,2015,2,Domingo,,
RJ,NÃO INFORMADO,Estupro,309.0,36.0,346.0,,2015,2,Domingo,,
RN,NÃO INFORMADO,Estupro,13.0,0.0,16.0,,2015,2,Domingo,,
RO,NÃO INFORMADO,Estupro,25.0,11.0,36.0,,2015,2,Domingo,,
RS,NÃO INFORMADO,Estupro,314.0,63.0,377.0,,2015,2,Domingo,,
SC,NÃO INFORMADO,Estupro,148.0,24.0,172.0,,2015,2,Domingo,,
SP,NÃO INFORMADO,Estupro,705.0,184.0,918.0,,2015,2,Domingo,,
TO,NÃO INFORMADO,Estupro,12.0,3.0,15.0,,2015,2,Domingo,,
AL,NÃO INFORMADO,Estupro,54.0,9.0,63.0,,2015,3,Domingo,,
AM,NÃO INFORMADO,Estupro,34.0,9.0,43.0,,2015,3,Domingo,,
AP,NÃO INFORMADO,Estupro,29.0,1.0,30.0,,2015,3,Domingo,,
BA,NÃO INFORMADO,Estupro,191.0,25.0,216.0,,2015,3,Domingo,,
CE,NÃO INFORMADO,Estupro,116.0,24.0,140.0,,2015,3,Domingo,,
DF,NÃO INFORMADO,Estupro,51.0,25.0,76.0,,2015,3,Domingo,,
